MARITAL;AGE;GENDER1;HOMPOP;HAPPY;HEALTH;SATJOB;REALINC
5;54;1;3;3;2;2;49000
1;67;1;2;1;0;1;40425
3;53;2;1;3;2;2;26950
1;59;2;2;1;3;0;40425
1;65;1;2;1;2;1;0
1;51;1;3;1;0;2;49000
5;39;1;3;2;2;1;0
3;49;2;3;2;0;2;40425
1;30;1;2;1;1;1;155139.9731
3;57;2;2;2;0;0;58800
1;36;2;2;2;1;1;68600
3;39;2;3;1;0;1;155139.9731
1;38;1;4;2;2;8;49000
1;46;2;5;2;1;2;155139.9731
1;41;1;4;2;1;2;155139.9731
5;29;1;3;2;0;1;33075
4;58;2;2;2;2;1;0
1;48;2;2;2;2;1;155139.9731
5;31;1;1;1;1;0;0
3;54;2;1;3;0;3;22050
5;37;2;1;2;0;1;4410
2;48;2;3;2;2;2;26950
5;58;2;3;2;3;1;0
3;77;2;1;2;0;1;5512.5
5;44;2;1;2;3;2;11637.5
5;27;2;2;3;3;1;0
5;19;2;7;2;3;2;68600
3;55;1;2;2;4;1;26950
1;52;2;3;2;1;1;40425
1;63;1;2;2;0;0;13475
1;39;2;4;2;3;2;26950
1;68;1;5;1;0;1;49000
1;82;1;1;3;0;0;0
3;59;2;2;2;3;4;0
2;64;2;1;1;0;1;0
5;47;2;1;3;0;3;0
1;45;1;3;2;2;3;33075
1;37;1;2;3;4;1;40425
5;20;2;4;3;0;1;10412.5
1;31;1;3;2;3;2;40425
5;22;1;3;2;0;1;1715
2;61;2;1;2;0;0;33075
1;56;1;2;1;0;1;58800
2;34;2;5;2;2;1;33075
1;53;1;4;2;0;1;33075
1;22;1;6;2;2;1;13475
4;39;2;4;1;0;1;9187.5
1;25;2;4;1;1;1;11637.5
1;75;1;2;1;0;0;13475
1;44;1;4;2;2;1;58800
5;26;1;1;2;2;9;6737.5
1;40;1;3;1;2;1;40425
5;33;1;6;2;3;1;22050
1;49;1;4;2;0;2;26950
1;49;1;2;1;2;1;49000
1;48;1;4;2;2;1;155139.9731
5;40;1;1;2;2;2;58800
2;80;1;1;2;1;0;0
5;21;1;4;1;0;3;245
1;38;1;2;1;1;1;245
1;74;1;2;2;2;0;22050
1;75;1;1;2;1;0;33075
1;40;1;2;2;1;1;68600
1;50;2;4;1;1;1;0
1;48;1;2;2;0;2;40425
1;32;1;3;2;3;3;15925
1;41;1;5;1;2;2;33075
1;26;1;3;2;3;9;0
3;57;2;2;3;0;2;18375
5;30;2;1;3;2;0;245
3;41;2;5;3;2;1;3675
5;50;1;1;2;3;2;245
5;30;1;2;2;2;3;15925
5;47;2;2;2;0;2;11637.5
5;65;2;1;2;3;1;2205
1;43;1;2;3;0;1;0
5;20;2;2;2;3;0;26950
1;47;2;2;2;0;1;40425
5;31;1;2;2;2;2;22050
1;35;1;6;2;0;1;26950
1;58;1;2;2;2;2;22050
1;66;1;3;2;0;0;26950
5;37;1;7;2;2;2;13475
4;40;2;1;2;3;1;40425
1;56;1;2;2;0;2;155139.9731
1;49;2;2;2;2;2;49000
1;30;2;2;2;1;1;33075
1;45;2;6;2;3;1;58800
2;77;1;1;2;3;0;26950
5;30;2;1;2;2;3;5512.5
1;43;1;6;1;1;2;13475
5;31;2;1;2;0;2;7962.5
5;58;2;1;2;1;3;0
1;62;2;2;2;2;1;13475
2;73;1;1;3;0;0;5512.5
5;60;2;2;1;2;3;18375
1;32;1;2;1;0;2;15925
5;24;1;5;1;3;2;10412.5
4;71;1;1;3;0;0;5512.5
3;31;1;1;2;0;1;40425
3;42;2;1;2;2;1;10412.5
2;80;2;1;2;0;1;0
3;76;2;1;2;2;0;7962.5
5;40;2;2;2;0;1;980
5;29;2;4;2;3;2;10412.5
2;86;2;2;1;0;0;15925
5;53;1;1;1;1;1;22050
1;48;2;3;2;3;2;10412.5
2;86;2;1;2;3;0;4410
1;71;1;2;3;4;0;980
1;50;1;3;1;3;2;9187.5
3;40;1;1;2;3;2;0
1;30;1;5;1;1;1;26950
1;68;1;8;2;2;3;5512.5
1;37;1;4;2;0;1;155139.9731
4;41;2;5;1;3;1;0
1;64;1;4;3;1;1;0
1;72;1;2;2;2;0;22050
5;40;2;1;2;2;1;26950
3;43;2;2;1;2;1;0
3;84;1;1;2;0;0;49000
1;34;2;4;1;2;1;155139.9731
3;79;2;1;1;1;0;10412.5
2;60;1;1;3;4;0;6737.5
3;59;1;1;2;4;4;9187.5
1;59;2;2;2;0;1;980
3;63;2;1;1;2;0;5512.5
3;66;2;1;1;0;0;5512.5
1;49;2;4;2;2;1;3185
5;66;1;3;2;0;0;155139.9731
1;42;1;6;2;2;1;155139.9731
1;52;1;3;2;0;3;155139.9731
1;42;1;2;2;2;1;68600
3;45;1;3;2;2;3;155139.9731
1;37;1;3;2;0;1;155139.9731
1;49;1;2;1;1;2;33075
1;31;1;2;2;0;0;10412.5
1;81;1;2;1;1;0;33075
5;30;1;2;3;3;2;49000
5;29;1;3;1;0;1;10412.5
1;58;1;2;2;3;1;26950
3;76;2;1;3;2;1;0
1;49;1;4;2;1;2;33075
1;42;1;4;2;1;2;40425
5;56;1;2;2;0;1;68600
1;40;2;2;1;1;1;155139.9731
1;35;2;2;1;0;2;155139.9731
1;36;1;2;1;1;9;58800
1;56;1;2;1;1;1;33075
1;37;1;2;2;0;1;58800
1;35;2;3;1;1;2;40425
5;24;2;3;2;1;1;11637.5
1;70;1;3;3;0;2;40425
5;28;1;4;2;2;1;33075
1;51;1;2;1;0;2;3675
1;30;1;2;2;3;3;9187.5
2;80;2;1;3;0;0;22050
3;46;2;3;2;2;2;22050
2;78;2;2;2;0;0;0
2;64;2;1;2;2;1;22050
5;50;2;1;2;1;1;26950
3;63;1;1;3;0;0;18375
1;66;1;3;1;0;2;33075
1;35;1;3;1;1;2;58800
2;72;1;1;3;3;0;4410
1;88;1;2;1;0;0;6737.5
5;99;2;1;3;2;4;13475
5;19;1;1;2;2;4;245
3;32;2;4;1;2;1;11637.5
1;33;1;4;1;0;1;33075
1;48;2;6;2;0;3;155139.9731
3;67;2;1;2;2;0;5512.5
1;46;1;3;2;2;1;22050
1;50;1;2;2;2;1;33075
5;28;1;5;1;0;1;155139.9731
1;28;1;2;1;2;1;33075
5;49;1;2;3;1;1;22050
5;20;2;1;2;2;1;5512.5
5;51;1;1;2;3;3;155139.9731
3;75;2;1;3;0;0;4410
3;65;2;1;2;0;0;13475
3;58;2;1;2;3;2;4410
1;40;1;3;2;2;2;26950
1;32;2;3;1;1;1;49000
1;53;1;2;3;4;3;18375
1;51;1;2;2;0;3;40425
1;48;1;2;1;3;1;40425
1;42;1;5;1;0;1;22050
1;39;1;4;2;4;1;26950
5;27;2;4;3;0;3;2205
1;45;1;5;1;0;2;7962.5
1;42;1;3;2;2;2;40425
1;48;2;2;3;0;3;40425
1;69;1;2;2;1;0;40425
5;18;1;6;2;3;4;26950
1;37;2;3;2;2;3;40425
1;33;2;4;1;1;1;33075
5;49;1;2;2;0;2;26950
1;39;2;2;2;2;2;0
1;44;2;5;1;0;3;18375
5;53;2;3;3;0;2;3675
5;25;1;3;2;1;2;3185
1;45;1;3;1;0;1;49000
1;24;1;2;2;0;2;15925
5;59;2;1;1;2;0;13475
5;27;1;3;2;2;1;26950
3;54;1;2;3;0;2;18375
5;26;1;2;1;2;2;15925
2;86;2;1;2;1;0;0
3;63;2;1;2;0;1;22050
5;27;1;4;1;1;1;18375
3;52;2;2;2;1;3;10412.5
5;50;2;1;3;2;3;1715
5;36;2;2;2;0;2;1715
5;38;1;1;2;1;1;245
3;73;2;5;3;4;0;15925
3;51;1;1;2;2;2;155139.9731
5;41;2;1;3;0;2;11637.5
1;36;1;3;3;3;0;22050
1;54;2;4;1;3;1;0
3;39;2;2;2;2;2;33075
1;61;1;2;2;0;1;40425
5;21;1;2;2;0;1;7962.5
1;76;2;2;2;4;0;18375
5;23;2;2;2;2;0;33075
3;63;2;1;1;2;0;33075
3;45;2;1;2;2;2;40425
1;26;1;10;1;1;2;26950
1;36;1;4;3;0;2;10412.5
1;64;1;3;2;3;2;49000
1;46;1;6;1;0;2;33075
1;69;1;2;1;0;0;155139.9731
1;43;1;5;1;1;1;49000
4;57;2;1;3;4;0;5512.5
1;34;1;4;1;0;1;11637.5
1;30;1;4;1;0;4;6737.5
5;28;1;1;1;1;1;58800
5;23;1;1;2;2;0;155139.9731
1;29;1;2;2;0;2;26950
1;54;2;2;1;1;1;68600
1;57;1;2;2;1;1;155139.9731
1;67;1;2;2;0;0;33075
1;27;1;2;1;0;1;15925
1;43;2;4;2;2;1;49000
1;42;1;2;2;0;1;155139.9731
5;35;2;1;2;0;1;11637.5
1;30;1;2;1;0;1;49000
3;55;1;1;1;2;3;22050
2;53;2;1;2;3;1;13475
5;18;1;3;1;0;0;40425
5;40;1;1;3;2;2;5512.5
5;25;1;3;2;0;0;40425
1;54;1;3;1;2;2;155139.9731
1;52;1;2;2;2;1;0
1;25;1;4;2;3;0;5512.5
1;28;1;4;1;1;1;33075
3;74;1;1;3;0;0;13475
2;89;1;1;2;0;0;40425
1;77;1;2;1;0;0;10412.5
5;24;1;4;2;2;1;33075
1;72;2;2;2;2;1;40425
2;70;2;1;2;2;2;7962.5
1;84;1;2;2;0;0;26950
3;73;2;1;3;3;0;5512.5
3;57;1;1;2;0;0;11637.5
1;47;2;3;2;2;2;155139.9731
5;49;2;1;2;2;3;2205
3;51;2;1;2;2;1;13475
5;53;2;1;2;2;0;13475
4;65;1;1;2;2;0;6737.5
3;55;1;1;2;0;1;6737.5
3;57;1;1;2;3;2;9187.5
5;38;1;1;2;2;3;15925
4;49;2;1;3;3;4;22050
3;54;1;1;2;2;3;18375
5;21;1;3;1;0;2;33075
5;20;1;2;2;2;1;6737.5
1;76;1;2;2;0;0;0
2;66;2;1;3;1;0;4410
5;43;1;4;2;0;1;15925
5;55;2;4;2;1;3;22050
3;28;2;1;1;0;2;18375
1;45;1;3;2;2;1;33075
2;81;1;1;2;0;0;10412.5
2;76;2;1;2;3;0;26950
2;45;2;1;2;0;1;10412.5
